No.,English,中文,拼音,中文+拼音
442,leather shoe,皮鞋,píxié,皮鞋 píxié
443,trainer,运动鞋,yùndòngxié,运动鞋 yùndòngxié
444,high heel shoe,高跟鞋,gāogēnxié,高跟鞋 gāogēnxié
445,brogue,镂花皮鞋,lòuhuā píxié,镂花皮鞋 lòuhuā píxié
446,wallet,钱夹,qiánjiá,钱夹 qiánjiá
447,platform shoe,厚底鞋,hòudǐxié,厚底鞋 hòudǐxié
448,sandal,凉鞋,liángxié,凉鞋 liángxié
449,handbag,手提包,shǒutíbāo,手提包 shǒutíbāo
450,shoulder strap,背带,bēidài,背带 bēidài
451,eyelet,鞋眼,xiéyǎn,鞋眼 xiéyǎn
452,slip-on,无带便鞋,wúdài biànxié,无带便鞋 wúdài biànxié
453,shoulder bag,挎包,kuàbāo,挎包 kuàbāo
454,fastening,扣环,kòuhuán,扣环 kòuhuán
455,flip-flop,平底人字拖鞋,píngdǐ rénzì tuōxié,平底人字拖鞋 píngdǐ rénzì tuōxié
456,hairdryer,吹风机,chuīfēngjī,吹风机 chuīfēngjī
457,comb,发梳,fāshū,发梳 fāshū
458,hairdresser,美发师,měifàshī,美发师 měifàshī
459,set (v),定型,dìngxíng,定型 dìngxíng
460,shampoo,洗发水,xǐfàshuǐ,洗发水 xǐfàshuǐ
461,scissors,剪刀,jiǎndāo,剪刀 jiǎndāo
462,hairpin,发卡,fàqiǎ,发卡 fàqiǎ
463,hairspray,定型水,dìngxíngshuǐ,定型水 dìngxíngshuǐ
464,blow dry (v),吹干,chuīgān,吹干 chuīgān
465,curling tongs,卷发钳,juǎnfàqián,卷发钳 juǎnfàqián
466,conditioner,护发素,hùfàsù,护发素 hùfàsù
467,robe,罩衫,zhàoshān,罩衫 zhàoshān
468,sink,洗头盆,xǐtóupén,洗头盆 xǐtóupén
469,client,顾客,gùkè,顾客 gùkè
470,hairband,发箍,fàgū,发箍 fàgū
471,comb (v),梳头,shūtóu,梳头 shūtóu
472,brush,发刷,fāshuā,发刷 fāshuā
473,cut (v),剪,jiǎn,剪 jiǎn
474,curler,卷发夹子,juǎnfà jiāzi,卷发夹子 juǎnfà jiāzi
475,rinse (v),冲洗,chōngxǐ,冲洗 chōngxǐ
476,gel,发胶,fàjiāo,发胶 fàjiāo
477,perm,烫发,tàngfà,烫发 tàngfà
478,trim (v),修剪,xiūjiǎn,修剪 xiūjiǎn
479,straighten (v),拉直,lāzhí,拉直 lāzhí
480,barber,理发师,lǐfàshī,理发师 lǐfàshī
481,dandruff,头皮屑,tóupíxiè,头皮屑 tóupíxiè
482,split ends,发梢分叉,fàshāo fēnchà,发梢分叉 fàshāo fēnchà
483,bald,秃顶,tūdǐng,秃顶 tūdǐng
484,pigtails,小辫,xiǎobiàn,小辫 xiǎobiàn
485,dyed,染色的,rǎnsède,染色的 rǎnsède
486,grey,灰色,huīsè,灰色 huīsè
487,auburn,红褐色,hónghèsè,红褐色 hónghèsè
488,blonde,金色,jīnsè,金色 jīnsè
489,straight,直发,zhífā,直发 zhífā
490,french pleat,法式盘头,fǎshì pántóu,法式盘头 fǎshì pántóu
491,crop,短发,duǎnfà,短发 duǎnfà
492,highlights,挑染,tiāorǎn,挑染 tiāorǎn
493,wig,假发,jiǎfà,假发 jiǎfà
494,white,白色,báisè,白色 báisè
495,brunette,深褐色,shēnhèsè,深褐色 shēnhèsè
496,bun,发髻,fàjì,发髻 fàjì
497,bob,女式短发,nǚshì duǎnfà,女式短发 nǚshì duǎnfà
498,greasy,油性发质,() yóuxìng (fàzhì),油性发质 () yóuxìng (fàzhì)
499,dry,干性发质,() gānxìng (fàzhì),干性发质 () gānxìng (fàzhì)
500,normal,中性发质,() zhōngxìng (fàzhì),中性发质 () zhōngxìng (fàzhì)
501,scalp,头皮,tóupí,头皮 tóupí
502,hairtie,发带,fàdài,发带 fàdài
503,black,黑色,hēisè,黑色 hēisè
504,ponytail,马尾辫,mǎwěibiàn,马尾辫 mǎwěibiàn
505,roots,发根,fāgēn,发根 fāgēn
506,curly,卷发,juǎnfà,卷发 juǎnfà
507,plait,麻花辫,máhuābiàn,麻花辫 máhuābiàn
508,ginger,红棕色,hóngzōngsè,红棕色 hóngzōngsè
509,lip gloss,唇彩,chúncǎi,唇彩 chúncǎi
510,lip brush,唇刷,chúnshuā,唇刷 chúnshuā
511,powder puff,粉扑,fěnpū,粉扑 fěnpū
512,eyebrow pencil,眉笔,méibǐ,眉笔 méibǐ
513,blusher,腮红,sāihóng,腮红 sāihóng
514,eyebrow brush,眉刷,méishuā,眉刷 méishuā
515,lipstick,口红,kǒuhóng,口红 kǒuhóng
516,hair dye,染发剂,rǎnfàjì,染发剂 rǎnfàjì
517,foundation,粉底,fěndǐ,粉底 fěndǐ
518,face powder,粉饼,fěnbǐng,粉饼 fěnbǐng
519,mirror,化妆镜,huàzhuāngjìng,化妆镜 huàzhuāngjìng
520,tweezers,眉夹,méijiá,眉夹 méijiá
521,concealer,遮瑕膏,zhēxiágāo,遮瑕膏 zhēxiágāo
522,mascara,睫毛膏,jiémáogāo,睫毛膏 jiémáogāo
523,lip liner,唇线笔,chúnxiànbǐ,唇线笔 chúnxiànbǐ
524,eyeliner,眼线液,yǎnxiànyè,眼线液 yǎnxiànyè
525,eye shadow,眼影,yǎnyǐng,眼影 yǎnyǐng
526,tan,棕褐色皮肤,zōnghèsè pífū,棕褐色皮肤 zōnghèsè pífū
527,tattoo,纹身,wénshēn,纹身 wénshēn
528,anti-wrinkle,抗皱,kàngzhòu,抗皱 kàngzhòu
529,cotton balls,棉球,miánqiú,棉球 miánqiú
530,complexion,肤色,fūsè,肤色 fūsè
531,fair,皮肤白皙,pífū báixī,皮肤白皙 pífū báixī
532,dark,肤色较深,fūsè jiàoshēn,肤色较深 fūsè jiàoshēn
533,toner,爽肤水,shuǎngfūshuǐ,爽肤水 shuǎngfūshuǐ
534,eau de toilette,淡香水,dànxiāngshuǐ,淡香水 dànxiāngshuǐ
535,facial,面部护理,miànbùhùlǐ,面部护理 miànbùhùlǐ
536,nail varnish remover,洗甲水,xǐjiǎshuǐ,洗甲水 xǐjiǎshuǐ
537,nail file,指甲锉,zhǐjiacuò,指甲锉 zhǐjiacuò
538,pedicure,趾甲护理,zhǐjiǎ hùlǐ,趾甲护理 zhǐjiǎ hùlǐ
539,sunbed,紫外线浴床,zǐwàixiàn yùchuáng,紫外线浴床 zǐwàixiàn yùchuáng
540,moisturizer,保湿霜,bǎoshīshuāng,保湿霜 bǎoshīshuāng
541,cleanser,洁面水,jiémiànshuǐ,洁面水 jiémiànshuǐ
542,oily,油性皮肤,() yóuxìng(pífū),油性皮肤 () yóuxìng(pífū)
543,sensitive,敏感性的,mǐngǎnxìngde,敏感性的 mǐngǎnxìngde
544,hypoallergenic,低变应原的,dībiànyìngyuánde,低变应原的 dībiànyìngyuánde
545,shade,色调,sèdiào,色调 sèdiào
546,exfoliate (v),去死皮,qù sǐpí,去死皮 qù sǐpí
547,nail scissors,指甲剪,zhǐjiajiǎn,指甲剪 zhǐjiajiǎn
548,wax,热蜡脱毛,rèlàtuōmáo,热蜡脱毛 rèlàtuōmáo
549,nail clippers,指甲刀,zhǐjiadāo,指甲刀 zhǐjiadāo
550,nail varnish,指甲油,zhǐjiayóu,指甲油 zhǐjiayóu
551,self-tanning cream,黑肤霜,hēifūshuāng,黑肤霜 hēifūshuāng
552,face pack,面膜,miànmó,面膜 miànmó
553,treatments,香水,xiāngshuǐ perfume,香水 xiāngshuǐ perfume
554,health,健康,jiànkāng,健康 jiànkāng
555,inhaler,气雾剂,qìwùjì,气雾剂 qìwùjì
556,vomit (v),呕吐,ǒutù,呕吐 ǒutù
557,epilepsy,癫痫,diānxián,癫痫 diānxián
558,migraine,偏头痛,piāntóutòng,偏头痛 piāntóutòng
559,eczema,湿疹,shīzhěn,湿疹 shīzhěn
560,infection,传染,chuánrǎn,传染 chuánrǎn
561,virus,病毒,bìngdú,病毒 bìngdú
562,stroke,中风,zhòngfēng,中风 zhòngfēng
563,blood pressure,血压,xuèyā,血压 xuèyā
564,heart attack,心肌梗塞,xīnjī gěngsè,心肌梗塞 xīnjī gěngsè
565,sneeze,喷嚏,pēntì,喷嚏 pēntì
566,nausea,恶心,ěxin,恶心 ěxin
567,chickenpox,水痘,shuǐdòu,水痘 shuǐdòu
568,nosebleed,鼻血,bíxiě,鼻血 bíxiě
569,cough,咳嗽,késou,咳嗽 késou
570,chill,寒战,hánzhàn,寒战 hánzhàn
571,stomach ache,胃痛,wèitòng,胃痛 wèitòng
572,cramps,痉挛,jìngluán,痉挛 jìngluán
573,flu,流感,liúgǎn,流感 liúgǎn
574,diarrhoea,腹泻,fùxiè,腹泻 fùxiè
575,measles,麻疹,mázhěn,麻疹 mázhěn
576,mumps,腮腺炎,sāixiànyán,腮腺炎 sāixiànyán
577,cold,感冒,gǎnmào,感冒 gǎnmào
578,rash,皮疹,pízhěn,皮疹 pízhěn
579,asthma,哮喘,xiàochuǎn,哮喘 xiàochuǎn
580,diabetes,糖尿病,tángniàobìng,糖尿病 tángniàobìng
581,allergy,过敏,guòmǐn,过敏 guòmǐn
582,hayfever,枯草热,kūcǎorè,枯草热 kūcǎorè
583,headache,头痛,tóutòng,头痛 tóutòng
584,stethoscope,听诊器,tīngzhěnqì,听诊器 tīngzhěnqì
585,I need to see a doctor.,我需要看医生,。 wǒ xūyào kànyīshēng.,我需要看医生 。 wǒ xūyào kànyīshēng.
586,It hurts here.,这儿疼,。 zhè’er téng.,这儿疼 。 zhè’er téng.
587,appointment,预约,yùyuē,预约 yùyuē
588,surgery,诊疗室,zhěnliáoshì,诊疗室 zhěnliáoshì
589,waiting room,候诊室,hòuzhěnshì,候诊室 hòuzhěnshì
590,prescription,处方,chǔfāng,处方 chǔfāng
591,nurse,护士,hùshi,护士 hùshi
592,doctor,医生,yīshēng,医生 yīshēng
593,x-ray viewer,光片看片器,X Xguāngpiàn kànpiànqì,光片看片器 X Xguāngpiàn kànpiànqì
594,inoculation,接种,jiēzhòng,接种 jiēzhòng
595,thermometer,体温计,tǐwēnjì,体温计 tǐwēnjì
596,examination,体检,tǐjiǎn medical,体检 tǐjiǎn medical
597,blood pressure gauge,血压计,xuèyājì,血压计 xuèyājì
598,patient,患者,huànzhě,患者 huànzhě
599,height bar,身高计,shēngāojì,身高计 shēngāojì
600,scales,体重计,tǐzhòngjì,体重计 tǐzhòngjì
601,poisoning,中毒,zhòngdú,中毒 zhòngdú
602,electric shock,电击,diànjī,电击 diànjī
603,head injury,头部损伤,tóubù sǔnshāng,头部损伤 tóubù sǔnshāng
604,accident,事故,shìgù,事故 shìgù
605,emergency,紧急情况,jǐnjí qíngkuàng,紧急情况 jǐnjí qíngkuàng
606,wound,伤口,shāngkǒu,伤口 shāngkǒu
607,sting,蜇伤,zhēshāng,蜇伤 zhēshāng
608,burn,烧伤,shāoshāng,烧伤 shāoshāng
609,splinter,刺伤,cìshāng,刺伤 cìshāng
610,graze,擦伤,cāshāng,擦伤 cāshāng
611,sling,医用吊带,yīyòng diàodài,医用吊带 yīyòng diàodài
612,neck brace,颈托,jǐngtuō,颈托 jǐngtuō
613,sunburn,晒伤,shàishāng,晒伤 shàishāng
614,haemorrhage,大出血,dàchūxuè,大出血 dàchūxuè
615,blister,水泡,shuǐpào,水泡 shuǐpào
616,concussion,脑震荡,nǎozhèndàng,脑震荡 nǎozhèndàng
617,bite,咬伤,yǎoshāng,咬伤 yǎoshāng
618,cut,割伤,gēshāng,割伤 gēshāng
619,fracture,骨折,gǔzhé,骨折 gǔzhé
620,Will he/she be all right?,他她没事吧,/? tā/tā méishì ba?,他她没事吧 /? tā/tā méishì ba?
621,Where does it hurt?,哪里疼,? nǎli téng?,哪里疼 ? nǎli téng?
622,Please call an ambulance.,请叫救护车,。 qǐngjiào jiùhùchē.,请叫救护车 。 qǐngjiào jiùhùchē.
623,whiplash,头颈部损伤,tóujǐngbù sǔnshāng,头颈部损伤 tóujǐngbù sǔnshāng
624,bruise,淤伤,yūshāng,淤伤 yūshāng
625,gauze,纱布,shābù,纱布 shābù
626,choke (v),窒息,zhìxī,窒息 zhìxī
627,sterile,无菌,wújūn,无菌 wújūn
628,shock,休克,xiūkè,休克 xiūkè
629,unconscious,不省人事,bùxǐng rénshì,不省人事 bùxǐng rénshì
630,painkillers,止痛药,zhǐtòngyào,止痛药 zhǐtòngyào
631,plaster,创可贴,chuàngkětiē,创可贴 chuàngkětiē
632,resuscitation,复苏术,fùsūshù,复苏术 fùsūshù
633,pulse,脉搏,màibó,脉搏 màibó
634,breathing,呼吸,hūxī,呼吸 hūxī
635,antiseptic wipe,消毒湿巾,xiāodú shījīn,消毒湿巾 xiāodú shījīn
636,bandage,绷带,bēngdài,绷带 bēngdài
637,dressing,包扎,bāozā,包扎 bāozā
638,Can you help?,您能帮帮我吗,? nín néng bāngbāng wǒ ma?,您能帮帮我吗 ? nín néng bāngbāng wǒ ma?
639,Do you know ﬁrst aid?,你会急救吗,? nǐ huì jíjiù ma?,你会急救吗 ? nǐ huì jíjiù ma?
640,ointment,药膏,yàogāo,药膏 yàogāo
641,adhesive tape,橡皮膏,xiàngpígāo,橡皮膏 xiàngpígāo
642,safety pin,安全别针,ānquán biézhēn,安全别针 ānquán biézhēn
643,antiseptic,消毒剂,xiāodújì,消毒剂 xiāodújì
644,trolley,移动病床,yídòng bìngchuáng,移动病床 yídòng bìngchuáng
645,surgeon,外科医生,wàikē yīshēng,外科医生 wàikē yīshēng
646,intensive care unit,加护病房,jiāhù bìngfáng,加护病房 jiāhù bìngfáng
647,outpatient,门诊病人,ménzhěn bìngrén,门诊病人 ménzhěn bìngrén
648,visiting hours,探视时间,tànshì shíjiān,探视时间 tànshì shíjiān
649,maternity ward,产科病房,chǎnkē bìngfáng,产科病房 chǎnkē bìngfáng
650,operation,手术,shǒushù,手术 shǒushù
651,admitted,收治的,shōuzhìde,收治的 shōuzhìde
652,emergency room,急诊室,jízhěnshì,急诊室 jízhěnshì
653,scan,扫描,CT CT sǎomiáo,扫描 CT CT sǎomiáo
654,injection,注射,zhùshè,注射 zhùshè
655,call button,呼叫按钮,hūjiào ànniǔ,呼叫按钮 hūjiào ànniǔ
656,operating theatre,手术室,shǒushùshì,手术室 shǒushùshì
657,discharged,出院,chūyuàn,出院 chūyuàn
658,clinic,诊所,zhěnsuǒ,诊所 zhěnsuǒ
659,x-ray,光,X Xguāng,光 X Xguāng
660,ward,病房,bìngfáng,病房 bìngfáng
661,anaesthetist,麻醉师,mázuìshī,麻醉师 mázuìshī
662,wheelchair,轮椅,lúnyǐ,轮椅 lúnyǐ
663,chart,手术记录表,shǒushù jìlùbiǎo,手术记录表 shǒushù jìlùbiǎo
664,blood test,验血,yànxuè,验血 yànxuè
665,children’s ward,儿童病房,értóng bìngfáng,儿童病房 értóng bìngfáng
666,private room,单人病房,dānrén bìngfáng,单人病房 dānrén bìngfáng
667,pathology,病理科,bìnglǐkē,病理科 bìnglǐkē
668,test,检查,jiǎnchá,检查 jiǎnchá
669,urology,泌尿科,mìniàokē,泌尿科 mìniàokē
670,plastic surgery,矫形外科,jiǎoxíngwàikē,矫形外科 jiǎoxíngwàikē
671,psychiatry,精神科,jīngshénkē,精神科 jīngshénkē
672,maternity,产科,chǎnkē,产科 chǎnkē
673,radiology,放射科,fàngshèkē,放射科 fàngshèkē
674,cardiology,心脏病科,xīnzàngbìngkē,心脏病科 xīnzàngbìngkē
675,gynaecology,妇科,fùkē,妇科 fùkē
676,ENT,耳鼻喉科,ěrbíhóukē,耳鼻喉科 ěrbíhóukē
677,orthopaedy,整形外科,zhěngxíngwàikē,整形外科 zhěngxíngwàikē
678,result,结果,jiéguǒ,结果 jiéguǒ
679,consultant,专科医生,zhuānkē yīshēng,专科医生 zhuānkē yīshēng
680,neurology,神经科,shénjīngkē,神经科 shénjīngkē
681,oncology,肿瘤科,zhǒngliúkē,肿瘤科 zhǒngliúkē
682,dermatology,皮肤科,pífūkē,皮肤科 pífūkē
683,ophthalmology,眼科,yǎnkē,眼科 yǎnkē
684,paediatrics,儿科,érkē,儿科 érkē
685,endocrinology,内分泌科,nèifēnmìkē,内分泌科 nèifēnmìkē
686,referral,转诊,zhuǎnzhěn,转诊 zhuǎnzhěn
687,physiotherapy,理疗科,lǐliáokē,理疗科 lǐliáokē
688,root,牙根,yágēn,牙根 yágēn
689,drill,牙钻,yázuàn,牙钻 yázuàn
690,dental ﬂoss,牙线,yáxiàn,牙线 yáxiàn
691,extraction,拔牙,báyá,拔牙 báyá
692,crown,齿冠,chǐguàn,齿冠 chǐguàn
693,probe,探针,tànzhēn,探针 tànzhēn
694,basin,漱口池,shùkǒuchí,漱口池 shùkǒuchí
695,x-ray film,牙片,yápiàn,牙片 yápiàn
696,dental x-ray,口腔光,kǒuqiāngguāng,口腔光 kǒuqiāngguāng
697,dentist’s chair,牙科椅,yákēyǐ,牙科椅 yákēyǐ
698,canine,犬齿,quǎnchǐ,犬齿 quǎnchǐ
699,molar,臼齿,jiùchǐ,臼齿 jiùchǐ
700,enamel,釉质,yòuzhì,釉质 yòuzhì
701,brace,畸齿矫正器,jīchǐ jiǎozhèngqì,畸齿矫正器 jīchǐ jiǎozhèngqì
702,premolar,前臼齿,qiánjiùchǐ,前臼齿 qiánjiùchǐ
703,toothache,牙痛,yátòng,牙痛 yátòng
704,plaque,牙菌斑,yájūnbān,牙菌斑 yájūnbān
705,decay,龋齿,qǔchǐ,龋齿 qǔchǐ
706,ﬁlling,填充物,tiánchōngwù,填充物 tiánchōngwù
707,dentures,假牙,jiǎyá,假牙 jiǎyá
708,gum,牙龈,yáyín,牙龈 yáyín
709,floss (v),用牙线洁齿,yòng yáxiàn jiéchǐ,用牙线洁齿 yòng yáxiàn jiéchǐ
710,incisor,门牙,ményá,门牙 ményá
711,reflector,医用灯,yīyòngdēng,医用灯 yīyòngdēng
712,lens case,隐形眼镜盒,yǐnxíng yǎnjìnghé,隐形眼镜盒 yǐnxíng yǎnjìnghé
713,cleaning fluid,清洁液,qīngjiéyè,清洁液 qīngjiéyè
714,glasses,眼镜,yǎnjìng,眼镜 yǎnjìng
715,astigmatism,散光,sǎnguāng,散光 sǎnguāng
716,long sight,远视,yuǎnshì,远视 yuǎnshì
717,short sight,近视,jìnshì,近视 jìnshì
718,bifocal,双光的,shuāngguāngde,双光的 shuāngguāngde
719,iris,虹膜,hóngmó,虹膜 hóngmó
720,case,眼镜盒,yǎnjìnghé,眼镜盒 yǎnjìnghé
721,cornea,角膜,jiǎomó,角膜 jiǎomó
722,pupil,瞳孔,tóngkǒng,瞳孔 tóngkǒng
723,frame,镜架,jìngjià,镜架 jìngjià
724,vision,视力,shìlì,视力 shìlì
725,diopter,屈光度,qūguāngdù,屈光度 qūguāngdù
726,tear,眼泪,yǎnlèi,眼泪 yǎnlèi
727,cataract,白内障,báinèizhàng,白内障 báinèizhàng
728,lens,晶状体,jīngzhuàngtǐ,晶状体 jīngzhuàngtǐ
729,disinfectant solution,消毒液,xiāodúyè,消毒液 xiāodúyè
730,optic nerve,视神经,shìshénjīng,视神经 shìshénjīng
731,sunglasses,太阳镜,tàiyángjìng,太阳镜 tàiyángjìng
732,eyelid,眼睑,yǎnjiǎn,眼睑 yǎnjiǎn
733,retina,视网膜,shìwǎngmó,视网膜 shìwǎngmó
734,umbilical cord,脐带,qídài,脐带 qídài
735,breech,逆产,nìchǎn,逆产 nìchǎn
736,premature,早产的,zǎochǎnde,早产的 zǎochǎnde
737,gynaecologist,妇科医生,fùkē yīshēng,妇科医生 fùkē yīshēng
738,obstetrician,产科医生,chǎnkē yīshēng,产科医生 chǎnkē yīshēng
739,dilation,扩张术,kuòzhāngshù,扩张术 kuòzhāngshù
740,epidural,硬膜外麻醉,yìngmó wài mázuì,硬膜外麻醉 yìngmó wài mázuì
741,episiotomy,外阴切开术,wàiyīn qiēkāishù,外阴切开术 wàiyīn qiēkāishù
742,caesarean section,剖腹产,pōufùchǎn,剖腹产 pōufùchǎn
743,antenatal,出生前,chūshēngqián,出生前 chūshēngqián
744,embryo,胚胎,pēitāi,胚胎 pēitāi
745,womb,子宫,zǐgōng,子宫 zǐgōng
746,trimester,怀孕三个月,huáiyùnsāngèyuè,怀孕三个月 huáiyùnsāngèyuè
747,placenta,胎盘,tāipán,胎盘 tāipán
748,delivery,分娩,fēnmiǎn,分娩 fēnmiǎn
749,birth,出生,chūshēng,出生 chūshēng
750,miscarriage,流产,liúchǎn,流产 liúchǎn
751,stitches,缝合,fénghé,缝合 fénghé
752,conception,怀孕,huáiyùn,怀孕 huáiyùn
753,pregnant,怀孕的,huáiyùnde,怀孕的 huáiyùnde
754,expectant,待产的,dàichǎnde,待产的 dàichǎnde
755,pregnancy test,妊娠检查,rènshēn jiǎnchá,妊娠检查 rènshēn jiǎnchá
756,contraction,宫缩,gōngsuō,宫缩 gōngsuō
757,break waters (v),破羊水,pòyángshuǐ,破羊水 pòyángshuǐ
758,amniotic ﬂuid,羊水,yángshuǐ,羊水 yángshuǐ
759,amniocentesis,羊水穿刺诊断,yángshuǐ chuāncì zhěnduàn,羊水穿刺诊断 yángshuǐ chuāncì zhěnduàn
760,ventouse cup,吸杯,xībēi,吸杯 xībēi
761,identity tag,身份标签,shēnfènbiāoqiān,身份标签 shēnfènbiāoqiān
762,drip,输液,shūyè,输液 shūyè
763,midwife,助产士,zhùchǎnshì,助产士 zhùchǎnshì
764,monitor,监护仪,jiānhùyí,监护仪 jiānhùyí
765,nursing bra,喂母乳,bǔrǔ xiōngzhào,喂母乳 bǔrǔ xiōngzhào
766,assisted delivery,助产,zhùchǎn,助产 zhùchǎn
767,breast pump,吸乳器,xīrǔqì,吸乳器 xīrǔqì
768,forceps,产钳,chǎnqián,产钳 chǎnqián
769,pads,乳垫,rǔdiàn,乳垫 rǔdiàn
770,catheter,导管,dǎoguǎn,导管 dǎoguǎn
771,breastfeed (v),喂母乳,wèi mǔrǔ,喂母乳 wèi mǔrǔ
772,osteopathy,整骨疗法,zhěnggǔ liáofǎ,整骨疗法 zhěnggǔ liáofǎ
773,meditation,冥想,míngxiǎng,冥想 míngxiǎng
774,chiropractic,脊柱按摩法,jǐzhù ànmófǎ,脊柱按摩法 jǐzhù ànmófǎ
775,teacher,辅导教师,fǔdǎo jiàoshī,辅导教师 fǔdǎo jiàoshī
776,massage,按摩,ànmó,按摩 ànmó
777,reflexology,足底反射疗法,zúdǐ fǎnshè liáofǎ,足底反射疗法 zúdǐ fǎnshè liáofǎ
778,mat,垫子,diànzi,垫子 diànzi
779,shiatsu,指压按摩,zhǐyā ànmó,指压按摩 zhǐyā ànmó
780,counsellor,顾问,gùwèn,顾问 gùwèn
781,therapist,治疗师,zhìliáoshī,治疗师 zhìliáoshī
782,acupuncture,针灸,zhēnjiǔ,针灸 zhēnjiǔ
783,essential oils,精油,jīngyóu,精油 jīngyóu
784,ayurveda,印度草药疗法,yìndù cǎoyào liáofǎ,印度草药疗法 yìndù cǎoyào liáofǎ
785,herb,药草,yàocǎo,药草 yàocǎo
786,crystal healing,水晶疗法,shuǐjīng liáofǎ,水晶疗法 shuǐjīng liáofǎ
787,naturopathy,自然疗法,zìrán liáofǎ,自然疗法 zìrán liáofǎ
788,feng shui,风水,fēngshuǐ,风水 fēngshuǐ
789,psychotherapy,精神疗法,jīngshén liáofǎ,精神疗法 jīngshén liáofǎ
790,herbalism,本草疗法,běncǎo liáofǎ,本草疗法 běncǎo liáofǎ
791,reiki,灵气疗法,língqì liáofǎ,灵气疗法 língqì liáofǎ
792,aromatherapy,芳香疗法,fāngxiāng liáofǎ,芳香疗法 fāngxiāng liáofǎ
793,relaxation,放松,fàngsōng,放松 fàngsōng
794,stress,压力,yālì,压力 yālì
795,homeopathy,顺势疗法,shùnshì liáofǎ,顺势疗法 shùnshì liáofǎ
796,acupressure,指压疗法,zhǐyā liáofǎ,指压疗法 zhǐyā liáofǎ
797,supplement,营养品,yíngyǎngpǐn,营养品 yíngyǎngpǐn
798,hydrotherapy,水疗,shuǐliáo,水疗 shuǐliáo
799,hypnotherapy,催眠疗法,cuīmián liáofǎ,催眠疗法 cuīmián liáofǎ
800,group therapy,集体治疗,jítǐ zhìliáo,集体治疗 jítǐ zhìliáo
801,home,家居,jiājū,家居 jiājū
802,window,窗户,chuānghù,窗户 chuānghù
803,gutter,檐槽,yáncáo,檐槽 yáncáo
804,wall,墙壁,qiángbì,墙壁 qiángbì
805,rent (v),租用,zūyòng,租用 zūyòng
806,rent,房租,fángzū,房租 fángzū
807,terraced,连排式,liánpáishì,连排式 liánpáishì
808,letterbox,信箱,xìnxiāng,信箱 xìnxiāng
809,porch light,门廊灯,ménlángdēng,门廊灯 ménlángdēng
810,landlord,房东,fángdōng,房东 fángdōng
811,tenant,房客,fángkè,房客 fángkè
812,bungalow,平房,píngfáng,平房 píngfáng
813,basement,地下室,dìxiàshì,地下室 dìxiàshì
814,path,小径,xiǎojìng,小径 xiǎojìng
815,chimney,烟囱,yāncōng,烟囱 yāncōng
816,roof,屋顶,wūdǐng,屋顶 wūdǐng
817,front door,前门,qiánmén,前门 qiánmén
818,shutter,百叶窗,bǎiyèchuāng,百叶窗 bǎiyèchuāng
819,extension,建筑物增建部分,() (jiànzhùwù) zēngjiàn bùfen,建筑物增建部分 () (jiànzhùwù) zēngjiàn bùfen
820,garage,车库,chēkù,车库 chēkù
821,attic,阁楼,gélóu,阁楼 gélóu
